ID|URL|ALEPHIDN|WEBSCHNITT|INTERVALL_H|EBENEN|GATHER_DIR|LAST_ENTRY|LAST_GATHER|LAST_INGEST|TOLOAD_DIR|STATUS|LAST_PID|USR_STAT|ENTRY_DATE|EXTENDED_TEXT|IGNORE_ROBOTS|DEACT_MSG 
13|www.wolfgangheinrich.de|HT015294174|J|4320|6|/storage/gather/rlb01_20090617174704|27.05.2013 10:11:56|17.12.2014 18:20:31|30.12.2014 11:46:26|null|S |5941877|AK|null|null|null|null
39|http://www.fc-meisenheim.de/|HT015306710|J|8640|null|/storage/gather/rlb01_20071002103306|10.10.2007 13:57:36|22.05.2014 19:10:28|05.06.2014 12:21:25|null|S |5631445|AK|null|null|null|null
40|http://www.sybille-ender.de/|HT015306728|J|8640|null|/storage/gather/rlb01_20071002103406|10.10.2007 14:07:19|04.11.2014 16:40:40|04.11.2014 16:52:15|null|S |5843576|AK|null|null|null|null
41|http://www.tv1860nassau.de/|HT015306737|J|8640|null|/storage/gather/rlb01_20071002103506|10.10.2007 14:10:17|22.05.2014 19:50:27|05.06.2014 11:52:06|null|S |5631440|AK|null|null|null|null
721|http://www.laermkartierung.rlp.de/|null|J|4320|null|/storage/gather/rlb01_20091218075716|18.12.2009 07:56:56|18.12.2009 07:57:19|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091218075716|NI|null|AK|18.12.2009 07:56:56|null|null|null
43|http://www.arsporta.de/|HT015306792|J|4320|6|/storage/gather/rlb01_20071002103606|21.06.2013 18:04:28|20.12.2013 11:50:29|21.06.2013 12:44:43|null|GF|5163636|AK|null|null|null|null
44|http://www.heimatverein-waldorf.de/|HT015307256|J|4320|6|/storage/gather/rlb01_20071002103706|27.05.2013 10:08:46|10.12.2014 11:30:38|10.12.2014 11:42:24|null|S |5915291|AK|null|null|null|null
45|http://www.musikverein-brodenbach.de/|HT015307267|J|8640|null|/storage/gather/rlb01_20071002103707|11.10.2007 08:32:52|30.10.2014 10:10:30|03.11.2014 19:31:53|null|S |5839751|AK|null|null|null|null
46|www.my-prinzengarde.de|HT015307339|J|4320|6|/storage/gather/rlb01_20071002103807|18.06.2014 12:07:10|18.06.2014 12:10:28|17.06.2014 16:48:59|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071002103807|GF|5647869|AK|null|N|N|null
47|http://www.bendorf-geschichte.de/|TT002234648|J|2160|null|/storage/gather/rlb01_20071002103906|02.10.2007 10:38:56|03.01.2014 14:45:55|03.01.2014 15:34:18|null|S |5433290|AK|null|null|null|null
